timestamp,node_id,cpu_percent,rss_bytes,process_count
1779341929.82885,1,0.0,52903936,17
1779341929.82885,2,0.0,3293184,1
1779341929.82885,3,0.0,3231744,1
1779341929.82885,4,0.0,3239936,1
1779341929.82885,5,0.0,3239936,1
1779341931.1454742,1,0.0,52903936,17
1779341931.1454742,2,0.0,3293184,1
1779341931.1454742,3,0.0,3231744,1
1779341931.1454742,4,0.0,3239936,1
1779341931.1454742,5,0.0,3239936,1
1779341932.3664749,1,0.0,52903936,17
1779341932.3664749,2,0.0,3293184,1
1779341932.3664749,3,0.0,3231744,1
1779341932.3664749,4,0.0,3239936,1
1779341932.3664749,5,0.0,3239936,1
1779341933.7320073,1,0.0,53325824,17
1779341933.7320073,2,0.0,3293184,1
1779341933.7320073,3,0.0,3231744,1
1779341933.7320073,4,0.0,3239936,1
1779341933.7320073,5,0.0,3424256,1
1779341935.0574038,1,0.0,53325824,17
1779341935.0574038,2,0.0,3293184,1
1779341935.0574038,3,0.0,3231744,1
1779341935.0574038,4,0.0,3239936,1
1779341935.0574038,5,0.0,3424256,1
1779341936.3280437,1,0.0,53338112,17
1779341936.3280437,2,0.0,3293184,1
1779341936.3280437,3,0.0,3231744,1
1779341936.3280437,4,0.0,3239936,1
1779341936.3280437,5,0.0,3428352,1
1779341937.6000953,1,3.3,53338112,17
1779341937.6000953,2,0.0,3293184,1
1779341937.6000953,3,0.0,3231744,1
1779341937.6000953,4,0.0,3239936,1
1779341937.6000953,5,0.0,3428352,1
1779341938.849375,1,0.0,53346304,17
1779341938.849375,2,0.0,3293184,1
1779341938.849375,3,0.0,3231744,1
1779341938.849375,4,0.0,3239936,1
1779341938.849375,5,0.0,3432448,1
1779341940.1387682,1,0.0,53346304,17
1779341940.1387682,2,0.0,3293184,1
1779341940.1387682,3,0.0,3231744,1
1779341940.1387682,4,0.0,3239936,1
1779341940.1387682,5,0.0,3432448,1
1779341941.4597712,1,0.0,53350400,17
1779341941.4597712,2,0.0,3293184,1
1779341941.4597712,3,0.0,3231744,1
1779341941.4597712,4,0.0,3239936,1
1779341941.4597712,5,0.0,3436544,1
1779341942.730079,1,0.0,53350400,17
1779341942.730079,2,0.0,3293184,1
1779341942.730079,3,0.0,3231744,1
1779341942.730079,4,0.0,3239936,1
1779341942.730079,5,0.0,3436544,1
1779341944.0197408,1,0.0,53350400,17
1779341944.0197408,2,0.0,3293184,1
1779341944.0197408,3,0.0,3231744,1
1779341944.0197408,4,0.0,3239936,1
1779341944.0197408,5,0.0,3436544,1
