timestamp,node_id,cpu_percent,rss_bytes,process_count
1779342031.6312208,1,0.0,52662272,17
1779342031.6312208,2,0.0,3317760,1
1779342031.6312208,3,0.0,3280896,1
1779342031.6312208,4,0.0,3235840,1
1779342031.6312208,5,0.0,3297280,1
1779342032.9699228,1,0.0,52662272,17
1779342032.9699228,2,0.0,3317760,1
1779342032.9699228,3,0.0,3280896,1
1779342032.9699228,4,0.0,3235840,1
1779342032.9699228,5,0.0,3297280,1
1779342034.2754598,1,0.0,52662272,17
1779342034.2754598,2,0.0,3317760,1
1779342034.2754598,3,0.0,3280896,1
1779342034.2754598,4,0.0,3235840,1
1779342034.2754598,5,0.0,3297280,1
1779342035.6969502,1,0.0,53080064,17
1779342035.6969502,2,0.0,3317760,1
1779342035.6969502,3,0.0,3280896,1
1779342035.6969502,4,0.0,3235840,1
1779342035.6969502,5,0.0,3461120,1
1779342037.0608852,1,0.0,53092352,17
1779342037.0608852,2,0.0,3317760,1
1779342037.0608852,3,0.0,3280896,1
1779342037.0608852,4,0.0,3235840,1
1779342037.0608852,5,0.0,3465216,1
1779342038.4935353,1,1.4,53096448,17
1779342038.4935353,2,0.0,3317760,1
1779342038.4935353,3,0.0,3280896,1
1779342038.4935353,4,0.0,3235840,1
1779342038.4935353,5,0.0,3465216,1
1779342039.8166308,1,0.0,53096448,17
1779342039.8166308,2,0.0,3317760,1
1779342039.8166308,3,0.0,3280896,1
1779342039.8166308,4,0.0,3235840,1
1779342039.8166308,5,0.0,3465216,1
1779342041.143439,1,0.0,53104640,17
1779342041.143439,2,0.0,3317760,1
1779342041.143439,3,0.0,3280896,1
1779342041.143439,4,0.0,3235840,1
1779342041.143439,5,0.0,3473408,1
1779342042.4832015,1,0.0,53104640,17
1779342042.4832015,2,0.0,3317760,1
1779342042.4832015,3,0.0,3280896,1
1779342042.4832015,4,0.0,3235840,1
1779342042.4832015,5,0.0,3473408,1
