timestamp,node_id,cpu_percent,rss_bytes,process_count
1779341344.1077476,1,0.0,0,0
1779341344.1077476,2,0.0,0,0
1779341344.1077476,3,0.0,0,0
1779341344.1077476,4,0.0,0,0
1779341344.1077476,5,0.0,0,0
1779341393.6714666,1,0.0,52703232,17
1779341393.6714666,2,0.0,3297280,1
1779341393.6714666,3,0.0,3321856,1
1779341393.6714666,4,0.0,3317760,1
1779341393.6714666,5,0.0,3321856,1
1779341394.9746132,1,0.0,52703232,17
1779341394.9746132,2,0.0,3297280,1
1779341394.9746132,3,0.0,3321856,1
1779341394.9746132,4,0.0,3317760,1
1779341394.9746132,5,0.0,3321856,1
1779341396.3061125,1,0.0,53075968,17
1779341396.3061125,2,0.0,3297280,1
1779341396.3061125,3,0.0,3321856,1
1779341396.3061125,4,0.0,3317760,1
1779341396.3061125,5,0.0,3497984,1
1779341397.605451,1,0.0,53075968,17
1779341397.605451,2,0.0,3297280,1
1779341397.605451,3,0.0,3321856,1
1779341397.605451,4,0.0,3317760,1
1779341397.605451,5,0.0,3497984,1
1779341398.8893201,1,0.0,53088256,17
1779341398.8893201,2,0.0,3297280,1
1779341398.8893201,3,0.0,3321856,1
1779341398.8893201,4,0.0,3317760,1
1779341398.8893201,5,0.0,3502080,1
1779341400.2009888,1,0.0,53092352,17
1779341400.2009888,2,0.0,3297280,1
1779341400.2009888,3,0.0,3321856,1
1779341400.2009888,4,0.0,3317760,1
1779341400.2009888,5,0.0,3502080,1
1779341401.49983,1,0.0,53092352,17
1779341401.49983,2,0.0,3297280,1
1779341401.49983,3,0.0,3321856,1
1779341401.49983,4,0.0,3317760,1
1779341401.49983,5,0.0,3502080,1
1779341402.87374,1,0.0,53096448,17
1779341402.87374,2,0.0,3297280,1
1779341402.87374,3,0.0,3321856,1
1779341402.87374,4,0.0,3317760,1
1779341402.87374,5,0.0,3506176,1
1779341404.1306698,1,0.0,53096448,17
1779341404.1306698,2,0.0,3297280,1
1779341404.1306698,3,0.0,3321856,1
1779341404.1306698,4,0.0,3317760,1
1779341404.1306698,5,1.0,3506176,1
1779341405.4855266,1,0.0,53096448,17
1779341405.4855266,2,0.0,3297280,1
1779341405.4855266,3,0.0,3321856,1
1779341405.4855266,4,0.0,3317760,1
1779341405.4855266,5,0.0,3506176,1
1779341406.74126,1,0.0,53096448,17
1779341406.74126,2,0.0,3297280,1
1779341406.74126,3,0.0,3321856,1
1779341406.74126,4,0.0,3317760,1
1779341406.74126,5,0.0,3506176,1
1779341408.2228608,1,0.0,53096448,17
1779341408.2228608,2,0.0,3297280,1
1779341408.2228608,3,0.0,3321856,1
1779341408.2228608,4,0.0,3317760,1
1779341408.2228608,5,0.0,3506176,1
