received_ts,server_ts,latency_ms,payload_bytes
1779341392.9404902,1779341392.9383838,2.106,7045
1779341396.5088708,1779341396.5073278,1.543,8159
1779341399.7748632,1779341399.7735736,1.29,8156
1779341403.120105,1779341403.1188884,1.217,8158
1779341406.3833313,1779341406.3820524,1.279,8159
