timestamp,node_id,cpu_percent,rss_bytes,process_count
1779341001.0485623,1,0.0,40038400,13
1779341001.0485623,2,0.0,3219456,1
1779341001.0485623,3,0.0,3264512,1
1779341002.1768281,1,0.0,40038400,13
1779341002.1768281,2,0.0,3219456,1
1779341002.1768281,3,0.0,3264512,1
1779341003.3064218,1,0.0,40038400,13
1779341003.3064218,2,0.0,3219456,1
1779341003.3064218,3,0.0,3264512,1
1779341004.529134,1,0.0,40488960,13
1779341004.529134,2,0.0,3219456,1
1779341004.529134,3,0.0,3424256,1
1779341005.671389,1,0.0,40488960,13
1779341005.671389,2,0.0,3219456,1
1779341005.671389,3,0.0,3424256,1
1779341006.837265,1,0.0,40497152,13
1779341006.837265,2,0.0,3219456,1
1779341006.837265,3,0.0,3428352,1
1779341007.989503,1,0.0,40501248,13
1779341007.989503,2,0.0,3219456,1
1779341007.989503,3,0.0,3432448,1
1779341009.1716518,1,0.0,40501248,13
1779341009.1716518,2,0.0,3219456,1
1779341009.1716518,3,0.0,3432448,1
