timestamp,node_id,cpu_percent,rss_bytes,process_count
1779342131.1645904,1,0.0,52826112,17
1779342131.1645904,2,0.0,3297280,1
1779342131.1645904,3,0.0,3293184,1
1779342131.1645904,4,0.0,3313664,1
1779342131.1645904,5,0.0,3248128,1
1779342132.473546,1,0.0,52826112,17
1779342132.473546,2,0.0,3297280,1
1779342132.473546,3,0.0,3293184,1
1779342132.473546,4,0.0,3313664,1
1779342132.473546,5,0.0,3248128,1
1779342133.7474911,1,0.0,52826112,17
1779342133.7474911,2,0.0,3297280,1
1779342133.7474911,3,0.0,3293184,1
1779342133.7474911,4,0.0,3313664,1
1779342133.7474911,5,0.0,3248128,1
1779342135.1423478,1,0.0,53321728,17
1779342135.1423478,2,0.0,3297280,1
1779342135.1423478,3,0.0,3293184,1
1779342135.1423478,4,0.0,3313664,1
1779342135.1423478,5,0.0,3432448,1
1779342136.4261918,1,0.0,53334016,17
1779342136.4261918,2,0.0,3297280,1
1779342136.4261918,3,0.0,3293184,1
1779342136.4261918,4,0.0,3313664,1
1779342136.4261918,5,0.0,3436544,1
1779342137.7620242,1,0.0,53338112,17
1779342137.7620242,2,0.0,3297280,1
1779342137.7620242,3,0.0,3293184,1
1779342137.7620242,4,0.0,3313664,1
1779342137.7620242,5,0.0,3436544,1
1779342139.0725067,1,0.0,53342208,17
1779342139.0725067,2,0.0,3297280,1
1779342139.0725067,3,0.0,3293184,1
1779342139.0725067,4,0.0,3313664,1
1779342139.0725067,5,0.0,3440640,1
1779342140.3331344,1,0.0,53342208,17
1779342140.3331344,2,0.0,3297280,1
1779342140.3331344,3,0.0,3293184,1
1779342140.3331344,4,0.0,3313664,1
1779342140.3331344,5,0.0,3440640,1
