bundle_index,trace_id,from_node,to_node,payload_size,send_size,delivery_status,delivery_latency_ms,hop_count,queue_delay_ms,contact_duration_s,module_inference_latency_ms
0,ml_rate_high-b0000,1,5,256,290,received,52.431,1,0.0,3600.0,5.362
1,ml_rate_high-b0001,1,5,256,290,received,42.481,1,0.0,3600.0,0.335
2,ml_rate_high-b0002,1,5,256,290,received,37.15,1,0.0,3600.0,0.36
3,ml_rate_high-b0003,1,5,256,290,received,34.024,1,0.0,3600.0,0.446
