bundle_index,trace_id,from_node,to_node,payload_size,send_size,delivery_status,delivery_latency_ms,hop_count,queue_delay_ms,contact_duration_s,module_inference_latency_ms
0,throughput_size_512-b0000,1,5,512,553,received,55.437,1,4.84,3600.0,0.0
1,throughput_size_512-b0001,1,5,512,553,received,42.5,1,4.84,3600.0,0.0
2,throughput_size_512-b0002,1,5,512,553,received,80.444,1,4.84,3600.0,0.0
3,throughput_size_512-b0003,1,5,512,553,received,62.465,1,4.84,3600.0,0.0
