received_ts,server_ts,latency_ms,payload_bytes
1779341290.1597722,1779341290.158822,0.95,7097
1779341293.8073883,1779341293.802434,4.954,8151
1779341297.0542488,1779341297.0486112,5.638,8153
1779341300.6730065,1779341300.6704443,2.562,8149
1779341303.9692829,1779341303.9643092,4.974,8152
1779341307.2724268,1779341307.2713847,1.042,8151
