timestamp,node_id,cpu_percent,rss_bytes,process_count
1779340817.3758702,1,0.0,0,0
1779340817.3758702,2,0.0,0,0
1779340817.3758702,3,0.0,0,0
1779340852.717926,1,0.0,40017920,13
1779340852.717926,2,0.0,3284992,1
1779340852.717926,3,0.0,3305472,1
1779340853.9088116,1,0.0,40017920,13
1779340853.9088116,2,0.0,3284992,1
1779340853.9088116,3,0.0,3305472,1
1779340855.1193686,1,0.0,40017920,13
1779340855.1193686,2,0.0,3284992,1
1779340855.1193686,3,0.0,3305472,1
1779340856.2789152,1,0.0,40468480,13
1779340856.2789152,2,0.0,3284992,1
1779340856.2789152,3,0.0,3485696,1
1779340857.4277701,1,0.0,40468480,13
1779340857.4277701,2,0.0,3284992,1
1779340857.4277701,3,0.0,3485696,1
1779340858.6346169,1,0.8,40476672,13
1779340858.6346169,2,0.0,3284992,1
1779340858.6346169,3,0.0,3489792,1
1779340859.819534,1,0.0,40476672,13
1779340859.819534,2,0.0,3284992,1
1779340859.819534,3,0.0,3489792,1
