timestamp,node_id,cpu_percent,rss_bytes,process_count
1779341442.7353606,1,0.0,0,0
1779341442.7353606,2,0.0,0,0
1779341442.7353606,3,0.0,0,0
1779341442.7353606,4,0.0,0,0
1779341442.7353606,5,0.0,0,0
1779341490.7411585,1,0.0,52617216,17
1779341490.7411585,2,0.0,3293184,1
1779341490.7411585,3,0.0,3293184,1
1779341490.7411585,4,0.0,3321856,1
1779341490.7411585,5,0.0,3248128,1
1779341492.017464,1,0.0,52617216,17
1779341492.017464,2,0.0,3293184,1
1779341492.017464,3,0.0,3293184,1
1779341492.017464,4,0.0,3321856,1
1779341492.017464,5,0.0,3248128,1
1779341493.2784579,1,0.0,52617216,17
1779341493.2784579,2,0.0,3293184,1
1779341493.2784579,3,0.0,3293184,1
1779341493.2784579,4,0.0,3321856,1
1779341493.2784579,5,0.0,3248128,1
1779341494.5632074,1,0.0,53129216,17
1779341494.5632074,2,0.0,3293184,1
1779341494.5632074,3,0.0,3293184,1
1779341494.5632074,4,0.0,3321856,1
1779341494.5632074,5,0.8,3436544,1
1779341495.8716707,1,0.8,53141504,17
1779341495.8716707,2,0.0,3293184,1
1779341495.8716707,3,0.0,3293184,1
1779341495.8716707,4,0.0,3321856,1
1779341495.8716707,5,0.0,3440640,1
1779341497.1826367,1,0.0,53149696,17
1779341497.1826367,2,0.0,3293184,1
1779341497.1826367,3,0.0,3293184,1
1779341497.1826367,4,0.0,3321856,1
1779341497.1826367,5,0.0,3444736,1
1779341498.4496553,1,0.0,53153792,17
1779341498.4496553,2,0.0,3293184,1
1779341498.4496553,3,0.0,3293184,1
1779341498.4496553,4,0.0,3321856,1
1779341498.4496553,5,0.0,3448832,1
1779341499.7753103,1,1.6,53153792,17
1779341499.7753103,2,0.0,3293184,1
1779341499.7753103,3,0.0,3293184,1
1779341499.7753103,4,0.0,3321856,1
1779341499.7753103,5,0.0,3448832,1
1779341501.050375,1,0.0,53153792,17
1779341501.050375,2,0.0,3293184,1
1779341501.050375,3,0.0,3293184,1
1779341501.050375,4,0.0,3321856,1
1779341501.050375,5,0.0,3448832,1
1779341502.3011231,1,0.0,53153792,17
1779341502.3011231,2,0.0,3293184,1
1779341502.3011231,3,0.0,3293184,1
1779341502.3011231,4,0.0,3321856,1
1779341502.3011231,5,0.0,3448832,1
