received_ts,server_ts,latency_ms,payload_bytes
1779341491.1055162,1779341491.0967212,8.795,7102
1779341494.678541,1779341494.674817,3.724,8152
1779341498.01294,1779341498.0087225,4.217,8153
1779341501.3219028,1779341501.3205752,1.328,8153
