timestamp,node_id,cpu_percent,rss_bytes,process_count
1779341773.803172,1,0.0,52817920,17
1779341773.803172,2,0.0,3309568,1
1779341773.803172,3,0.0,3317760,1
1779341773.803172,4,0.0,3313664,1
1779341773.803172,5,0.0,3244032,1
1779341775.1102316,1,0.0,52817920,17
1779341775.1102316,2,0.0,3309568,1
1779341775.1102316,3,0.0,3317760,1
1779341775.1102316,4,0.0,3313664,1
1779341775.1102316,5,0.0,3244032,1
1779341776.3533375,1,0.0,53248000,17
1779341776.3533375,2,0.0,3309568,1
1779341776.3533375,3,0.0,3317760,1
1779341776.3533375,4,0.0,3313664,1
1779341776.3533375,5,0.0,3432448,1
1779341777.6721168,1,0.0,53252096,17
1779341777.6721168,2,0.0,3309568,1
1779341777.6721168,3,0.0,3317760,1
1779341777.6721168,4,0.0,3313664,1
1779341777.6721168,5,0.0,3432448,1
1779341779.027242,1,0.0,53260288,17
1779341779.027242,2,0.0,3309568,1
1779341779.027242,3,0.0,3317760,1
1779341779.027242,4,0.0,3313664,1
1779341779.027242,5,0.0,3432448,1
1779341780.2997313,1,0.0,53268480,17
1779341780.2997313,2,0.0,3309568,1
1779341780.2997313,3,0.0,3317760,1
1779341780.2997313,4,0.0,3313664,1
1779341780.2997313,5,0.0,3436544,1
1779341781.561376,1,0.0,53272576,17
1779341781.561376,2,0.0,3309568,1
1779341781.561376,3,0.0,3317760,1
1779341781.561376,4,0.0,3313664,1
1779341781.561376,5,0.0,3440640,1
1779341782.8241897,1,0.0,53272576,17
1779341782.8241897,2,0.0,3309568,1
1779341782.8241897,3,0.0,3317760,1
1779341782.8241897,4,0.0,3313664,1
1779341782.8241897,5,0.0,3440640,1
